date,open,high,low,close,volume,ticker,ticker_id,hl_range,body_ratio,close_position,return_1d,obv_change,return_5d,rsi,atr_ratio,ema_ratio,bb_pctb,volume_ratio,vol_trend,macd_hist,label
2014-09-17,4.58,4.84,4.58,4.71,1000,DGC,18,0.05520169851380038,0.5,0.5,0.03063457330415753,0.05460502366217692,-0.008421052631578996,70.13654882184998,0.07547220367807124,-0.043710352890694804,0.34187308441422476,0.22036139268400176,1.0874277284642098,0.004131962827717495,1
2014-09-18,4.84,4.91,4.71,4.91,2200,DGC,18,0.04073319755600818,0.3500000000000011,1.0,0.0424628450106157,0.17128244716780855,0.0424628450106157,71.28737358862612,0.07547220367807124,-0.021968749753141448,0.5734178591026275,0.5077430820005078,1.056222535639247,0.039442701125606855,1
2014-09-19,4.91,5.04,4.91,5.04,12400,DGC,18,0.02579365079365077,1.0,1.0,0.026476578411405383,0.5030578023278753,0.1200000000000001,72.04156249631022,0.07547220367807124,-0.002641641953135432,0.6938815679343348,3.1794871794871793,0.8939429584993912,0.063916952827512,1
2014-09-22,4.97,5.31,4.97,5.18,13200,DGC,18,0.06563706563706562,0.6176470588235295,0.6176470588235295,0.02777777777777768,0.5928853754940712,0.05284552845528445,72.86808934462437,0.07547220367807124,0.014359553666045244,0.8607762823920473,2.548262548262548,0.13689091335967785,0.07947243477743104,0
2014-09-23,5.09,5.14,4.99,5.11,7600,DGC,18,0.02935420743639911,0.13333333333333688,0.8000000000000036,-0.013513513513513375,0.46745457752690067,0.11816192560175054,71.72632277531876,0.07547220367807124,0.015452801692478202,0.8112880582523968,1.4757281553398058,0.43243964899102183,0.06598170725588726,1
2014-09-24,5.11,5.18,5.11,5.18,2500,DGC,18,0.013513513513513398,1.0,1.0,0.013698630136986134,0.4897307559544356,0.0997876857749469,72.19550296596277,0.07373125768340276,0.018853699308627014,0.8139850668410398,0.5050505050505051,0.4119614510487383,0.05732630162752436,0
2014-09-25,5.22,5.22,5.07,5.08,3500,DGC,18,0.029527559055118006,0.9333333333333346,0.06666666666666549,-0.019305019305019266,0.35014005602240894,0.03462321792260692,70.39826344012442,0.07192158172666396,0.012232585118658879,0.6698823971458748,0.693069306930693,0.4739175175012948,0.03376050904803298,0
2014-09-26,5.11,5.14,4.99,5.07,6300,DGC,18,0.02958579881656794,0.26666666666666783,0.5333333333333357,-0.0019685039370078705,-0.027890799317495735,0.005952380952380931,70.21003740131634,0.06902932174174256,0.007785979763917705,0.6211973564786476,1.1270125223613596,0.33411133933684634,0.017704364051104628,1
2014-09-29,5.09,5.11,5.07,5.11,6400,DGC,18,0.007827788649706464,0.5000000000000111,1.0,0.007889546351084853,-0.11462940986082641,-0.013513513513513375,70.54923982001034,0.06415603293260068,0.007767739331110635,0.6464255776635628,1.1367673179396092,0.43571698917271817,0.012153323496717997,0
2014-09-30,5.09,5.09,5.04,5.04,900,DGC,18,0.009920634920634885,1.0,0.0,-0.013698630136986356,-0.02704652001442481,-0.013698630136986356,69.06712084745388,0.06139293179864886,0.002660869822482592,0.4943659960049938,0.16071428571428573,0.5624558911491346,0.0001310393410332393,1
