date,open,high,low,close,volume,ticker,hl_range,body_ratio,close_position,return_1d,obv_change,return_5d,rsi,atr_ratio,ema_ratio,bb_pctb,volume_ratio,vol_trend,macd_hist,label
2003-05-20,10.38,10.57,10.38,10.57,2210,LAF,0.0179754020813623,1.0,1.0,0.0,-0.0816,-0.03821656050955413,51.20321633285848,0.012262094827242439,-0.008521730362477165,0.13951188217093544,0.7243526712553261,0.7329514027358205,-0.069040395108849,0
2003-05-21,10.52,10.52,10.47,10.47,1530,LAF,0.004775549188156536,1.0,0.0,-0.009460737937559083,-0.10608,-0.047315741583257465,48.01993817340252,0.012177203235171123,-0.011437903422902629,0.11592188135454183,0.4835651074589128,0.7577348246435549,-0.06362300648182465,0
2003-05-22,10.61,10.61,10.47,10.47,210,LAF,0.01337153772683847,1.0,0.0,0.0,-0.09006514657980456,-0.03502304147465429,48.01993817340252,0.012262512841718792,-0.011615693080146317,0.18760445488448738,0.093548328422278,0.5935906601455859,-0.04973814614970827,0
2003-05-26,10.38,10.57,10.38,10.57,80,LAF,0.0179754020813623,1.0,1.0,0.018304431599229343,-0.06846689895470383,0.0,51.77490133563225,0.012321963439809661,-0.007139414056053672,0.4071261299566895,0.093548328422278,1.2126112041597736,-0.012132029011898957,0
2003-05-28,10.38,10.52,10.38,10.52,5350,LAF,0.013307984790874411,1.0,1.0,-0.004730368968779652,-0.13871487381421158,0.0047755491881564804,49.920945848072954,0.011965106770114838,-0.0037823319710741377,0.41888337606342474,3.1544811320754715,1.1289042494541914,0.0051624413969126245,1
2003-05-29,10.52,10.57,10.52,10.57,1510,LAF,0.004730368968779632,1.0,1.0,0.004752851711026684,-0.11168784678718453,0.009551098376313183,51.78041168776359,0.011395783226658372,-0.0018663102385174657,0.6504142094180588,0.869314910765688,0.9513639770707194,0.01150619709501325,0
2003-06-03,10.57,10.57,10.52,10.52,540,LAF,0.0047528517110266835,1.0,0.0,-0.004730368968779652,-0.08191509257527585,-0.004730368968779652,49.485509485612525,0.009844380354739193,-0.0017129379915458154,0.49589501483395243,0.3827072997873848,0.48914638241134806,0.005480384471198047,0
2003-06-05,10.52,10.52,10.47,10.47,2200,LAF,0.004775549188156536,1.0,0.0,-0.004752851711026462,-0.05520854321982672,-0.009460737937559083,47.066275456906794,0.009844380354739193,-0.003552329245269936,0.2607449255023344,1.4725568942436413,0.36770169885889165,-0.0030446257753897164,0
2003-06-11,10.47,10.47,10.43,10.43,1000,LAF,0.0040952053649166665,1.0,0.0,-0.003820439350525451,-0.0651863923405989,-0.008555133079847899,44.71408283112253,0.009844380354739193,-0.003936599421538789,0.1092222167574379,0.6896551724137931,0.6624277379179393,-0.002831521438764712,0
2003-06-13,10.43,10.43,10.38,10.38,1340,LAF,0.004816955684007604,1.0,0.0,-0.004793863854266389,-0.04990403071017274,-0.008595988538681931,41.693370057695695,0.009844380354739193,-0.005041673450405626,0.04586032288508563,1.0331534309946029,1.0706611091508944,-0.005460812666398938,1
2003-06-16,10.38,10.61,10.38,10.61,1100,LAF,0.021677662582469243,1.0,1.0,0.02215799614643532,-0.026444870974621455,0.013371537726838412,56.31359180021948,0.009844380354739193,0.0019374118143822283,1.0587643456760538,0.8160237388724035,1.591286459763277,0.018762770124514352,0
2003-06-18,10.61,10.61,10.43,10.43,2300,LAF,0.017257909875359512,1.0,0.0,-0.016965127238454225,-0.0553497494007409,0.0,45.87335089453049,0.009844380354739193,-0.00017396039406325503,0.33644232169972554,1.546738399462004,1.6462801499776505,0.004271855921734426,0
2003-06-30,10.43,10.47,10.43,10.47,10,LAF,0.0040952053649166665,1.0,1.0,0.003835091083413289,0.0002306805074971165,0.003835091083413289,49.62785585313184,0.009844380354739193,-4.30919764025095e-05,0.5833333333493534,0.093548328422278,0.3405873215987693,0.0059549037082458865,0
2003-07-02,10.47,10.52,10.47,10.52,160,LAF,0.004752851711026515,1.0,1.0,0.0047755491881564804,0.00392156862745098,0.008628954937679678,54.2304007186136,0.009844380354739193,0.0022825399723451767,1.1293103452473168,0.17601760176017603,1.375328630507528,0.01135777339290352,0
2003-07-03,10.14,10.52,10.14,10.52,800,LAF,0.03612167300380219,1.0,1.0,0.0,0.00392156862745098,0.008628954937679678,54.2304007186136,0.009844380354739193,0.002775035373665302,0.9500351605700253,0.8998875140607424,1.375328630507528,0.010832729523276012,1
2003-07-04,10.52,10.57,10.52,10.57,150,LAF,0.004730368968779632,1.0,1.0,0.004752851711026684,0.007381776239907728,0.01342281879194629,58.61582175826411,0.009844380354739193,0.004236820481644088,1.0212860352696667,0.16592920353982302,1.2695942292631404,0.013457706548222014,0
2003-07-07,10.57,10.57,10.47,10.47,410,LAF,0.009551098376313242,1.0,0.0,-0.009460737937559083,-0.0023062730627306273,0.0,48.58854964979778,0.009844380354739193,0.0014197674617071332,0.4783018481641428,0.48520710059171596,1.6462801499776505,0.001300974236140305,0
2003-07-08,10.19,10.38,10.19,10.38,310,LAF,0.01830443159922941,1.0,1.0,-0.008595988538681931,-0.009455719557195572,-0.008595988538681931,41.67814448529513,0.009844380354739193,-0.002597495387361648,0.07868612847059019,0.4732824427480916,1.3861669913615466,-0.012913996163575197,0
2003-07-14,10.66,10.66,10.38,10.38,210,LAF,0.026974951830443097,1.0,0.0,0.009727626459144156,-0.0319001386962552,-0.008595988538681931,44.6360588392825,0.009844380354739193,-0.0044374732131540195,0.33710405860342185,0.5898876404494382,1.2021206546473955,-0.007539885092497804,0
2003-07-18,10.66,10.66,10.38,10.38,2100,LAF,0.026974951830443097,1.0,0.0,0.0,0.005039596832253419,0.009727626459144156,44.6360588392825,0.009844380354739193,-0.0012069441596691544,0.5058778801339813,4.127097988272008,0.10749175849976872,0.005172778848574727,0
2003-07-23,10.38,10.38,10.33,10.33,330,LAF,0.004840271055179159,1.0,0.0,-0.004816955684007751,-0.007879656160458453,-0.004816955684007751,39.61912583287559,0.009844380354739193,-0.00214125661528497,0.22669591654469345,0.64453125,0.5004992824534875,-0.0008960230257835811,0
2003-08-04,10.0,10.0,9.86,9.86,3960,LAF,0.014198782961460505,1.0,0.0,-0.04549854791868346,-0.09530685920577617,-0.04549854791868346,21.652642987354888,0.009844380354739193,-0.015496186280110402,-0.11191153746438329,4.127097988272008,1.5909681378646907,-0.044849349489500166,0
2003-08-06,9.86,9.86,9.58,9.58,20,LAF,0.02922755741127342,1.0,0.0,-0.028397565922920864,-0.09578820697954273,-0.0726040658276863,21.652642987354888,0.009844380354739193,-0.029193879041529036,-0.04180790865487533,0.093548328422278,1.3948427256374496,-0.0705246940209848,0
2003-08-08,9.58,9.58,9.53,9.53,410,LAF,0.0052465897166842305,1.0,0.0,-0.0052192066805846205,-0.10565583634175692,-0.07744433688286556,21.652642987354888,0.009844380354739193,-0.029909915894000938,0.15015733329343317,0.8023483365949119,0.8519781083287292,-0.04443279655936069,0
2003-08-11,9.53,9.53,9.44,9.44,500,LAF,0.00953389830508473,1.0,0.0,-0.009443861490031513,-0.024740622505985636,-0.04259634888438135,21.652642987354888,0.009844380354739193,-0.03001852351876788,0.16839286945849427,0.8928571428571429,0.789838358379905,-0.033418201589725194,0
2003-08-13,9.44,9.44,9.39,9.39,3120,LAF,0.005324813631522783,1.0,0.0,-0.005296610169491456,-0.10726643598615918,-0.019832985386221247,21.652642987354888,0.009844380354739193,-0.02558226623220594,0.24330531072569184,3.466666666666667,0.25083267323266056,-0.005068652180687777,0
2003-08-14,9.39,9.39,9.25,9.25,2850,LAF,0.015135135135135197,1.0,0.0,-0.014909478168264156,-0.18312483364386478,-0.034446764091858095,21.652642987354888,0.009844380354739193,-0.02725081232114812,0.18399388981976675,2.4050632911392404,0.417576918203252,-0.007050766149972076,1
2003-08-15,9.15,9.39,9.15,9.39,1050,LAF,0.025559105431309924,1.0,1.0,0.015135135135135203,-0.1458557588805167,-0.014690451206715527,21.652642987354888,0.009844380354739193,-0.02081677975932905,0.3119981847878728,0.813953488372093,0.739362473729365,0.014951026813384838,1
2003-08-18,9.39,9.53,9.39,9.53,60,LAF,0.01469045120671551,1.0,1.0,0.014909478168263934,-0.132569558101473,0.009533898305084776,30.99543190037147,0.009844380354739193,-0.01159773635383976,0.5502262929061771,0.093548328422278,1.1585884224426182,0.04114963320749465,1
2003-08-19,9.67,9.67,9.58,9.58,50,LAF,0.009394572025052178,1.0,0.0,0.005246589716684236,-0.13120567375886524,0.014830508474576343,34.45267397134447,0.009901068189070869,-0.005099891155251335,0.7640657605551584,0.093548328422278,1.067062647160001,0.05392412339558465,0
2003-08-20,9.58,9.58,9.44,9.44,20,LAF,0.014830508474576332,1.0,0.0,-0.014613778705636848,-0.050983899821109124,0.005324813631522707,29.930849451492165,0.010389520522600535,-0.006653656197389335,0.45607337794177016,0.093548328422278,1.3002363664029277,0.03908415152527604,0
2003-08-21,9.44,9.44,9.34,9.34,110,LAF,0.010706638115631655,1.0,0.0,-0.010593220338983023,0.033561420658194854,0.00972972972972963,27.186148099518434,0.01051546312735957,-0.010052996768178502,0.2498842994095488,0.1286549707602339,1.2403277600269351,0.020301457719440502,0
2003-08-28,9.48,9.48,9.34,9.34,2680,LAF,0.01498929336188443,1.0,0.0,-0.014767932489451518,-0.08385876418663304,0.0,32.103131669620836,0.009844380354739193,-0.004596352057144593,0.24562891817802499,3.706777316735823,1.0363124347053136,0.012901801472695498,1
2003-08-29,9.34,9.44,9.34,9.44,10,LAF,0.010593220338983014,1.0,1.0,0.01070663811563155,-0.08354350567465321,0.01070663811563155,38.62444005815729,0.009844380354739193,-0.0022314027960333993,0.5268753722370688,0.093548328422278,1.1836935815947132,0.01642189970845459,0
2003-09-03,9.44,9.44,9.34,9.34,2320,LAF,0.010706638115631655,1.0,0.0,-0.010593220338983023,-0.15668348045397226,0.0,35.0038036273818,0.009844380354739193,-0.004440704479931168,0.2766687498359424,2.7455621301775146,1.0919457329721434,0.00602439291442277,1
2003-09-04,9.34,9.39,9.34,9.39,200,LAF,0.005324813631522972,1.0,1.0,0.005353319057815886,-0.1509136735979836,-0.009493670886075889,38.126858228842934,0.009844380354739193,-0.0032522154731419173,0.4870631957364938,0.23255813953488372,1.1726988092997406,0.007591230182867982,0
2003-09-05,9.39,9.39,9.29,9.29,200,LAF,0.010764262648008765,1.0,0.0,-0.010649627263045969,-0.15721487082545685,-0.020042194092827148,34.55109965761571,0.009844380354739193,-0.0058629751176904055,0.1511011861147513,0.22779043280182232,1.0989706365929397,-0.00209684145996885,0
2003-09-08,9.29,9.29,9.2,9.2,70,LAF,0.009782608695652159,1.0,0.0,-0.009687836383207693,-0.08189951823812801,-0.014989293361884481,31.672102380003963,0.009844380354739193,-0.009479012831282496,0.0029481388630045475,0.093548328422278,0.7914449656367403,-0.012965818927778774,1
2003-09-10,9.25,9.25,9.11,9.11,1000,LAF,0.015367727771679536,1.0,0.0,-0.015135135135135203,-0.020934579439252338,-0.024625267665952966,30.54327949678391,0.009844380354739193,-0.012017129087931733,0.020839004704705694,1.4265335235378032,0.8077786608226982,-0.016775109327858237,1
